Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Robo2,Slit3,Pathway 1,161,1144,255,0,0.3870192307692308,1.0,0.5580589254766031,100,0.1801242236024842
Robo3,Slit1,Pathway 1,12,1535,13,0,0.48,1.0,0.6486486486486487,25,0.0
Robo3,Slit1,Pathway 1,12,1535,13,0,0.48,1.0,0.6486486486486487,50,0.0
Robo3,Slit1,Pathway 1,12,1535,13,0,0.48,1.0,0.6486486486486487,75,0.0
Robo3,Slit1,Pathway 1,12,1535,13,0,0.48,1.0,0.6486486486486487,100,0.0
Robo3,Slit2,Pathway 1,2,1141,407,10,0.004889975550122249,0.16666666666666666,0.009501187648456057,25,0.34141414141414145
Robo3,Slit2,Pathway 1,4,1141,407,8,0.009732360097323601,0.3333333333333333,0.018912529550827426,50,0.3333333333333333
Robo3,Slit2,Pathway 1,4,1141,407,8,0.009732360097323601,0.3333333333333333,0.018912529550827426,75,0.3333333333333333
Robo3,Slit2,Pathway 1,4,1141,407,8,0.009732360097323601,0.3333333333333333,0.018912529550827426,100,0.3333333333333333
Robo3,Slit3,Pathway 1,12,1265,283,0,0.04067796610169491,1.0,0.0781758957654723,25,0.08535353535353536
Robo3,Slit3,Pathway 1,12,1265,283,0,0.04067796610169491,1.0,0.0781758957654723,50,0.08333333333333336
Robo3,Slit3,Pathway 1,12,1265,283,0,0.04067796610169491,1.0,0.0781758957654723,75,0.08333333333333336
Robo3,Slit3,Pathway 1,12,1265,283,0,0.04067796610169491,1.0,0.0781758957654723,100,0.08333333333333336
Robo4,Slit1,Pathway 1,39,1508,13,0,0.75,1.0,0.8571428571428571,25,0.0
Robo4,Slit1,Pathway 1,39,1508,13,0,0.75,1.0,0.8571428571428571,50,0.0
Robo4,Slit1,Pathway 1,39,1508,13,0,0.75,1.0,0.8571428571428571,75,0.0
Robo4,Slit1,Pathway 1,39,1508,13,0,0.75,1.0,0.8571428571428571,100,0.0
Robo4,Slit2,Pathway 1,29,1118,403,10,0.06712962962962964,0.7435897435897436,0.12314225053078558,25,0.22328578712303612
Robo4,Slit2,Pathway 1,39,1118,403,0,0.08823529411764706,1.0,0.1621621621621622,50,0.20874815061275676
Robo4,Slit2,Pathway 1,39,1118,403,0,0.08823529411764706,1.0,0.1621621621621622,75,0.20512820512820498
Robo4,Slit2,Pathway 1,39,1118,403,0,0.08823529411764706,1.0,0.1621621621621622,100,0.20512820512820498
Robo4,Slit3,Pathway 1,39,1243,278,0,0.12302839116719243,1.0,0.21910112359550563,25,0.1448639193639039
Robo4,Slit3,Pathway 1,39,1243,278,0,0.12302839116719243,1.0,0.21910112359550563,50,0.14330466496407238
Robo4,Slit3,Pathway 1,39,1243,278,0,0.12302839116719243,1.0,0.21910112359550563,75,0.15384615384615388
Robo4,Slit3,Pathway 1,39,1243,278,0,0.12302839116719243,1.0,0.21910112359550563,100,0.15384615384615388
Flrt2,Ntn1,Pathway 2,405,1055,100,0,0.801980198019802,1.0,0.8901098901098902,25,0.055146687068898505
Flrt2,Ntn1,Pathway 2,405,1055,100,0,0.801980198019802,1.0,0.8901098901098902,50,0.054170926159269696
Flrt2,Ntn1,Pathway 2,405,1055,100,0,0.801980198019802,1.0,0.8901098901098902,75,0.05432098765432121
Flrt2,Ntn1,Pathway 2,405,1055,100,0,0.801980198019802,1.0,0.8901098901098902,100,0.05432098765432121
