receptor,ligand,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Ligand %
Dscam,Ntn1,Pathway 2,3020,43005,5340,0,0.361244019138756,1.0,0.5307557117750439,50,0.09923801246970158
Dscam,Ntn1,Pathway 2,3020,43005,5340,0,0.361244019138756,1.0,0.5307557117750439,75,0.10323864126682022
Dscam,Ntn1,Pathway 2,3020,43005,5340,0,0.361244019138756,1.0,0.5307557117750439,100,0.10203913731405129
Dscam,Ntn4,Pathway 2,3020,46220,2125,0,0.586977648202138,1.0,0.7397428046540111,25,0.07174333736178633
Dscam,Ntn4,Pathway 2,3020,46220,2125,0,0.586977648202138,1.0,0.7397428046540111,50,0.07170286837689804
Dscam,Ntn4,Pathway 2,3020,46220,2125,0,0.586977648202138,1.0,0.7397428046540111,75,0.07263613721282934
Dscam,Ntn4,Pathway 2,3020,46220,2125,0,0.586977648202138,1.0,0.7397428046540111,100,0.07202735996956325
Draxin,Ntn1,Pathway 2,2743,43227,5358,37,0.3386001728181706,0.9866906474820144,0.5041816009557946,25,0.09544844906497212
Draxin,Ntn1,Pathway 2,2780,43227,5358,0,0.34160727451462275,1.0,0.5092507785308664,50,0.10171241823519503
Draxin,Ntn1,Pathway 2,2780,43227,5358,0,0.34160727451462275,1.0,0.5092507785308664,75,0.10725424841823603
Draxin,Ntn1,Pathway 2,2780,43227,5358,0,0.34160727451462275,1.0,0.5092507785308664,100,0.1058838397491634
Draxin,Ntn4,Pathway 2,2780,46468,2117,0,0.567694506840923,1.0,0.7242412400677348,25,0.08109528079797433
Draxin,Ntn4,Pathway 2,2780,46468,2117,0,0.567694506840923,1.0,0.7242412400677348,50,0.0824891103833037
Draxin,Ntn4,Pathway 2,2780,46468,2117,0,0.567694506840923,1.0,0.7242412400677348,75,0.08331557851547966
Draxin,Ntn4,Pathway 2,2780,46468,2117,0,0.567694506840923,1.0,0.7242412400677348,100,0.08284817229100071
Neo1,Ntn1,Pathway 2,20818,27111,3080,356,0.8711189220855302,0.983186927363748,0.923766418175364,25,0.12141970935368593
