Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Ntn4,Flrt2,Pathway 2,46,1113,401,0,0.1029082774049217,1.0,0.18661257606490872,50,0.0872529199436152
Ntn4,Flrt2,Pathway 2,46,1113,401,0,0.1029082774049217,1.0,0.18661257606490872,75,0.08695652173913047
Ntn4,Flrt2,Pathway 2,46,1113,401,0,0.1029082774049217,1.0,0.18661257606490872,100,0.08695652173913047
Ntn4,Dcc,Pathway 2,46,1415,99,0,0.31724137931034485,1.0,0.48167539267015713,25,0.07058317327218462
Ntn4,Dcc,Pathway 2,46,1415,99,0,0.31724137931034485,1.0,0.48167539267015713,50,0.06627175938811249
Ntn4,Dcc,Pathway 2,46,1415,99,0,0.31724137931034485,1.0,0.48167539267015713,75,0.06521739130434788
Ntn4,Dcc,Pathway 2,46,1415,99,0,0.31724137931034485,1.0,0.48167539267015713,100,0.06521739130434788
Ntn4,Dscam,Pathway 2,46,1484,30,0,0.6052631578947368,1.0,0.7540983606557378,25,0.0
Ntn4,Dscam,Pathway 2,46,1484,30,0,0.6052631578947368,1.0,0.7540983606557378,50,0.0
Ntn4,Dscam,Pathway 2,46,1484,30,0,0.6052631578947368,1.0,0.7540983606557378,75,0.0
Ntn4,Dscam,Pathway 2,46,1484,30,0,0.6052631578947368,1.0,0.7540983606557378,100,0.0
Ntn4,Draxin,Pathway 2,46,1486,28,0,0.6216216216216216,1.0,0.7666666666666667,25,0.0
Ntn4,Draxin,Pathway 2,46,1486,28,0,0.6216216216216216,1.0,0.7666666666666667,50,0.0
Ntn4,Draxin,Pathway 2,46,1486,28,0,0.6216216216216216,1.0,0.7666666666666667,75,0.0
Ntn4,Draxin,Pathway 2,46,1486,28,0,0.6216216216216216,1.0,0.7666666666666667,100,0.0
Ntn4,Neo1,Pathway 2,13,1029,485,33,0.02610441767068273,0.2826086956521739,0.04779411764705882,25,0.2975332201774802
Ntn4,Neo1,Pathway 2,0,1029,485,46,0.0,0.0,0,50,0.3265519974461627
Ntn4,Neo1,Pathway 2,0,1029,485,46,0.0,0.0,0,75,0.32608695652173936
Ntn4,Neo1,Pathway 2,0,1029,485,46,0.0,0.0,0,100,0.32608695652173936
Ntn4,Unc5a,Pathway 2,46,1495,19,0,0.7076923076923077,1.0,0.8288288288288288,25,0.0
Ntn4,Unc5a,Pathway 2,46,1495,19,0,0.7076923076923077,1.0,0.8288288288288288,50,0.0
Ntn4,Unc5a,Pathway 2,46,1495,19,0,0.7076923076923077,1.0,0.8288288288288288,75,0.0
Ntn4,Unc5a,Pathway 2,46,1495,19,0,0.7076923076923077,1.0,0.8288288288288288,100,0.0
Ntn4,Unc5b,Pathway 2,6,1178,336,40,0.017543859649122806,0.13043478260869565,0.030927835051546393,25,0.33011589113308243
Ntn4,Unc5b,Pathway 2,0,1178,336,46,0.0,0.0,0,50,0.3265169037108544
Ntn4,Unc5b,Pathway 2,0,1178,336,46,0.0,0.0,0,75,0.32608695652173936
Ntn4,Unc5b,Pathway 2,0,1178,336,46,0.0,0.0,0,100,0.32608695652173936
Ntn4,Unc5c,Pathway 2,46,1285,229,0,0.16727272727272727,1.0,0.2866043613707165,25,0.1333090716764608
Ntn4,Unc5c,Pathway 2,46,1285,229,0,0.16727272727272727,1.0,0.2866043613707165,50,0.13143409286902352
Ntn4,Unc5c,Pathway 2,46,1285,229,0,0.16727272727272727,1.0,0.2866043613707165,75,0.13043478260869573
Ntn4,Unc5c,Pathway 2,46,1285,229,0,0.16727272727272727,1.0,0.2866043613707165,100,0.13043478260869573
Cxcl12,Cxcr4,Pathway 3,479,1074,7,0,0.98559670781893,1.0,0.9927461139896373,25,0.00399067071091619
Cxcl12,Cxcr4,Pathway 3,479,1074,7,0,0.98559670781893,1.0,0.9927461139896373,50,0.0043765362168057785
Cxcl12,Cxcr4,Pathway 3,479,1074,7,0,0.98559670781893,1.0,0.9927461139896373,75,0.004175365344467609
Cxcl12,Cxcr4,Pathway 3,479,1074,7,0,0.98559670781893,1.0,0.9927461139896373,100,0.004175365344467609
Cxcl12,Ackr3,Pathway 3,479,757,324,0,0.5965130759651308,1.0,0.7472698907956318,25,0.24708133190216686
Cxcl12,Ackr3,Pathway 3,479,757,324,0,0.5965130759651308,1.0,0.7472698907956318,50,0.24654023861273716
Cxcl12,Ackr3,Pathway 3,479,757,324,0,0.5965130759651308,1.0,0.7472698907956318,75,0.24634655532358865
Cxcl12,Ackr3,Pathway 3,479,757,324,0,0.5965130759651308,1.0,0.7472698907956318,100,0.24634655532358865
